Age,Gender,Location,Income Level,Occupation,Transaction History,Product Usage,Online Activity,Offline Activity,Interaction History,Lifestyle,Financial Goals,Interests,Email Open Rate,Click Through Rate,App Usage,Social Media Interactions,Product Preference
56,Male,Gujarat,High,Software Engineer,Rare,Loan,Low,Low,Rare,Suburban,Investing,Finance,0.43893910692839544,0.6765382651835163,Weekly,Inactive,Loan
46,Female,Delhi,Medium,Student,Frequent,Loan,Medium,High,Rare,Rural,Investing,Sports,0.897245478884261,0.7510122703566527,Monthly,Active,Loan
32,Male,Mumbai,Low,Engineer,Frequent,Loan,High,Medium,Rare,Rural,Saving,Finance,0.6920588904274437,0.37903838304714477,Weekly,Inactive,Loan
60,Male,Gujarat,Low,Software Engineer,Rare,Credit Card,Medium,Low,Frequent,Suburban,Investing,Sports,0.3605970331525752,0.5901843203949698,Weekly,Active,Credit Card
25,Male,Gujarat,Low,Analyst,Frequent,Loan,High,Low,Rare,Rural,Saving,Tech,0.8042645335255416,0.8053923428701426,Daily,Inactive,Loan
38,Male,Hyderabad,Low,Executive,Rare,Credit Card,High,High,Frequent,Rural,Luxury Vacation,Travel,0.7381022141696717,0.17211753440651711,Daily,Active,Credit Card
56,Male,Jaipur,Low,Analyst,Occasional,Credit Card,Low,Low,Occasional,Urban,Investing,Sports,0.7916839655081643,0.42282296082619164,Weekly,Active,Credit Card
36,Female,Hyderabad,Low,Manager,Rare,Loan,Low,Low,Frequent,Suburban,Luxury Vacation,Tech,0.6409559830409944,0.7404897684798613,Daily,Active,Loan
40,Female,Mumbai,Medium,Software Engineer,Occasional,Credit Card,Medium,Low,Rare,Suburban,Investing,Tech,0.3793706158394986,0.5326365717651854,Weekly,Inactive,Credit Card
28,Male,Gujarat,High,Software Engineer,Frequent,Credit Card,Medium,High,Frequent,Rural,Investing,Sports,0.3485785156042691,0.6816574529261715,Monthly,Inactive,Credit Card
28,Male,Hyderabad,High,Executive,Frequent,Loan,Low,Medium,Occasional,Urban,Investing,Finance,0.6541513607592644,0.29286919587581395,Weekly,Active,Loan
41,Male,Jaipur,Medium,Executive,Frequent,Credit Card,Low,High,Rare,Suburban,Saving,Sports,0.13090000796690116,0.03234245131768465,Weekly,Active,Credit Card
53,Female,Mumbai,High,Software Engineer,Rare,Loan,High,Low,Occasional,Suburban,Luxury Vacation,Travel,0.8199143504985758,0.029145779754376155,Monthly,Active,Loan
57,Female,Delhi,Low,Manager,Occasional,Loan,High,Low,Occasional,Rural,Saving,Tech,0.3703353839980731,0.9427811765303477,Daily,Inactive,Loan
41,Male,Hyderabad,Low,Executive,Occasional,Loan,Low,Medium,Rare,Suburban,Saving,Finance,0.630371989365549,0.9445400439950414,Weekly,Active,Loan
20,Male,Mumbai,High,Engineer,Frequent,Credit Card,High,Low,Frequent,Rural,Luxury Vacation,Sports,0.49906391493341806,0.21128233995461942,Daily,Inactive,Credit Card
39,Female,Delhi,Low,Software Engineer,Frequent,Loan,Medium,Medium,Occasional,Urban,Luxury Vacation,Sports,0.5193264920246539,0.14746565797094402,Monthly,Inactive,Loan
19,Male,Hyderabad,Low,Analyst,Occasional,Loan,High,Low,Rare,Urban,Saving,Tech,0.7380061462013471,0.018139833893020874,Weekly,Active,Loan
41,Female,Mumbai,High,Analyst,Rare,Credit Card,Low,Low,Occasional,Suburban,Saving,Sports,0.6266700536714184,0.2312568563152585,Weekly,Active,Credit Card
61,Female,Mumbai,Medium,Manager,Frequent,Credit Card,High,High,Frequent,Rural,Saving,Travel,0.25030898834571347,0.3343514411545736,Weekly,Active,Credit Card
47,Male,Hyderabad,High,Engineer,Rare,Loan,Low,High,Occasional,Urban,Luxury Vacation,Finance,0.07422593142373779,0.24124263363788112,Weekly,Inactive,Loan
55,Female,Mumbai,High,Executive,Frequent,Credit Card,High,Medium,Occasional,Suburban,Saving,Travel,0.840234067365291,0.7973841403062013,Daily,Active,Credit Card
19,Male,Gujarat,High,Software Engineer,Frequent,Credit Card,Medium,High,Occasional,Suburban,Luxury Vacation,Tech,0.8848940747518577,0.7494304992754354,Daily,Active,Credit Card
38,Male,Hyderabad,High,Analyst,Rare,Credit Card,Medium,Medium,Occasional,Suburban,Saving,Finance,0.1644965329173187,0.08101414468587398,Monthly,Inactive,Credit Card
50,Male,Mumbai,Medium,Analyst,Rare,Credit Card,Low,High,Frequent,Rural,Luxury Vacation,Tech,0.3094770669195325,0.6973216081020926,Daily,Inactive,Credit Card
